final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
8,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.491,0.716,0.471,0.42,0.422,0.376
5,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
12,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.496,0.753,0.452,0.464,0.454,0.362
12,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.474,0.701,0.464,0.472,0.394,0.358
4,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.453,0.676,0.438,0.469,0.407,0.352
22,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
6,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.453,0.676,0.438,0.469,0.407,0.352
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
2,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.474,0.724,0.444,0.433,0.431,0.376
6,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.468,0.707,0.449,0.436,0.407,0.363
3,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.48,0.699,0.485,0.43,0.368,0.387
4,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.491,0.732,0.489,0.458,0.406,0.351
7,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.47,0.712,0.435,0.484,0.391,0.356
3,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
8,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.491,0.716,0.471,0.42,0.422,0.376
6,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.468,0.712,0.406,0.411,0.404,0.354
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.474,0.701,0.464,0.472,0.394,0.358
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.47,0.712,0.435,0.484,0.391,0.356
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.47,0.66,0.442,0.432,0.42,0.365
15,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.463,0.682,0.478,0.464,0.401,0.348
5,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.455,0.652,0.437,0.432,0.389,0.361
8,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.468,0.707,0.449,0.436,0.407,0.363
5,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.467,0.705,0.493,0.463,0.407,0.353
5,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.474,0.667,0.418,0.456,0.425,0.378
6,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.496,0.688,0.482,0.495,0.411,0.365
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.496,0.753,0.452,0.464,0.454,0.362
10,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.49,0.716,0.477,0.453,0.481,0.37
5,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.464,0.714,0.454,0.422,0.397,0.349
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.473,0.682,0.45,0.425,0.431,0.37
2,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.487,0.685,0.467,0.441,0.423,0.373
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.468,0.712,0.406,0.411,0.404,0.354
2,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.462,0.686,0.416,0.415,0.391,0.355
3,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.495,0.694,0.46,0.452,0.43,0.384
3,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.491,0.716,0.471,0.42,0.422,0.376
0,0.598,0.112,10.5,10.2,5.4,4.3,20.5,115.2,0.535,97.2,0.453,0.676,0.438,0.469,0.407,0.352
